Population	Parent	Identity	DriverMutations	MigrationMutations	Immortal	PassengerMutations	BirthRate	MigrationRate	OriginTime	AlleleCount
0	345	376	0	0	1	2	1.000000	1.000000	16.429293	1
0	164	379	0	0	1	2	1.000000	1.000000	16.445135	1
0	59	383	0	0	1	3	1.000000	1.000000	16.506222	1
1	106	382	0	0	0	4	1.000000	1.000000	16.496937	1
6	123	385	0	0	1	5	1.000000	1.000000	16.533707	15
0	0	387	0	0	1	1	1.000000	1.000000	16.548161	1
0	0	388	0	0	1	1	1.000000	1.000000	16.568422	1
0	263	391	0	0	1	4	1.000000	1.000000	16.589968	1
0	96	398	0	0	1	5	1.000000	1.000000	16.645178	2
0	276	399	0	0	1	3	1.000000	1.000000	16.647171	1
0	387	400	0	0	1	2	1.000000	1.000000	16.681108	1
1	36	403	0	0	1	3	1.000000	1.000000	16.724012	1
0	270	402	0	0	1	3	1.000000	1.000000	16.702499	4
0	300	404	0	0	1	3	1.000000	1.000000	16.739334	1
0	373	407	1	0	1	2	1.083169	1.000000	16.755568	1
1	241	408	0	0	1	4	1.000000	1.000000	16.787508	1
0	307	410	1	0	1	6	1.076035	1.000000	16.793331	1
0	385	412	0	0	1	6	1.000000	1.000000	16.803017	1
0	348	413	0	0	1	5	1.000000	1.000000	16.814165	1
0	0	414	0	0	1	1	1.000000	1.000000	16.816473	4
1	84	424	0	0	1	2	1.000000	1.000000	16.928291	1
1	372	418	0	0	0	4	1.000000	1.000000	16.873003	1
0	263	423	0	0	1	4	1.000000	1.000000	16.914852	1
0	0	425	0	0	1	1	1.000000	1.000000	16.943600	1
0	23	429	0	0	1	2	1.000000	1.000000	17.010025	1
0	357	427	0	0	1	4	1.000000	1.000000	16.986166	1
0	155	431	0	0	1	2	1.000000	1.000000	17.034367	1
1	16	440	1	0	1	2	1.019686	1.000000	17.180374	1
1	321	434	0	0	0	2	1.000000	1.000000	17.111294	1
1	16	435	0	0	1	2	1.000000	1.000000	17.112165	1
0	84	441	1	0	1	1	1.061457	1.000000	17.212431	2
0	23	449	0	0	1	2	1.000000	1.000000	17.275360	1
0	89	445	1	0	1	2	1.283996	1.000000	17.249281	1
0	221	459	1	0	1	2	1.193050	1.000000	17.413012	1
1	254	462	0	0	1	5	1.000000	1.000000	17.421333	41
0	293	455	1	0	1	1	1.320535	1.000000	17.378231	1
1	93	465	0	0	1	3	1.000000	1.000000	17.453836	1
0	84	463	1	0	1	1	1.195405	1.000000	17.424551	1
1	228	470	0	0	0	3	1.000000	1.000000	17.488831	1
39	263	471	0	0	1	4	1.000000	1.000000	17.489101	72
0	199	472	0	0	1	4	1.000000	1.000000	17.504288	1
0	285	473	0	0	1	6	1.000000	1.000000	17.505676	1
0	314	475	0	0	1	4	1.000000	1.000000	17.547279	1
0	148	476	1	0	1	2	1.003895	1.000000	17.566278	1
0	0	477	0	0	1	1	1.000000	1.000000	17.586308	1
