Generation	Frequency	Density
30.216413	0.999854	0.000000
30.216413	0.999893	0.000000
30.216413	0.999921	0.000000
30.216413	0.999942	0.000000
30.216413	0.999957	0.000000
30.216413	0.999969	0.000000
30.216413	0.999977	0.000000
30.216413	0.999983	0.000000
30.216413	0.999988	0.000000
30.216413	0.999991	0.000000
30.216413	0.999993	0.000000
30.216413	0.999995	0.000000
30.216413	0.999996	0.000000
30.216413	0.999997	0.000000
30.216413	0.999999	0.000000
30.640291	0.000008	0.000000
30.640291	0.000020	0.000000
30.640291	0.000027	0.000000
30.640291	0.000036	0.000000
30.640291	0.000050	0.000000
30.640291	0.000067	0.000000
30.640291	0.000092	0.000000
30.640291	0.000125	0.000000
30.640291	0.000170	0.000000
30.640291	0.000231	0.000000
30.640291	0.000314	0.000000
30.640291	0.000427	0.000000
30.640291	0.000581	0.000000
30.640291	0.000790	0.000000
30.640291	0.001075	73.208828
30.640291	0.001462	0.000000
30.640291	0.001987	3.303069
30.640291	0.002701	2.431705
30.640291	0.003671	0.895563
30.640291	0.004987	0.660109
30.640291	0.006771	0.487018
30.640291	0.009187	0.359776
30.640291	0.012455	0.266240
30.640291	0.016865	0.394969
30.640291	0.022799	0.000000
30.640291	0.030755	0.219620
30.640291	0.041367	0.000000
30.640291	0.055427	0.000000
30.640291	0.073891	0.000000
30.640291	0.097857	0.000000
30.640291	0.128499	0.029173
30.640291	0.166935	0.000000
30.640291	0.214010	0.000000
30.640291	0.270014	0.000000
30.640291	0.334393	0.000000
30.640291	0.405554	0.000000
30.640291	0.480892	0.000000
30.640291	0.557104	0.000000
30.640291	0.630733	0.000000
30.640291	0.698769	0.000000
30.640291	0.759093	0.000000
30.640291	0.810642	0.000000
30.640291	0.853319	0.000000
30.640291	0.887730	0.000000
30.640291	0.914887	0.000000
30.640291	0.935957	0.000000
30.640291	0.952090	0.000000
30.640291	0.964317	0.000000
30.640291	0.973512	0.000000
30.640291	0.980387	0.000000
30.640291	0.985505	0.000000
30.640291	0.989302	0.000000
30.640291	0.992112	0.000000
30.640291	0.994189	0.000000
30.640291	0.995721	0.000000
30.640291	0.996851	0.000000
30.640291	0.997683	0.000000
30.640291	0.998296	0.000000
30.640291	0.998746	0.000000
30.640291	0.999078	0.000000
30.640291	0.999322	0.000000
30.640291	0.999502	0.000000
30.640291	0.999634	0.000000
30.640291	0.999731	0.000000
30.640291	0.999802	0.000000
30.640291	0.999854	0.000000
30.640291	0.999893	0.000000
30.640291	0.999921	0.000000
30.640291	0.999942	0.000000
30.640291	0.999957	0.000000
30.640291	0.999969	0.000000
30.640291	0.999977	0.000000
30.640291	0.999983	0.000000
30.640291	0.999988	0.000000
30.640291	0.999991	0.000000
30.640291	0.999993	0.000000
30.640291	0.999995	0.000000
30.640291	0.999996	0.000000
30.640291	0.999997	0.000000
30.640291	0.999999	0.000000
