NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	DriverMutations	MigrationMutations	PassengerMutations
782	1	-1	-1	29.590883	7	0	1	1.097103	1.000000	1	0	0
782	1	-1	-1	29.590883	8	0	0	1.317946	1.000000	1	0	0
782	1	-1	-1	29.590883	10	0	3	1.025323	1.000000	1	0	0
782	1	-1	-1	29.590883	15	0	1	1.460206	1.000000	1	0	1
782	1	-1	-1	29.590883	18	0	3	1.379974	1.000000	1	0	0
782	1	-1	-1	29.590883	20	0	1	1.018654	1.000000	1	0	0
782	1	-1	-1	29.590883	27	0	0	1.043487	1.000000	1	0	1
782	1	-1	-1	29.590883	33	0	1	1.065711	1.000000	1	0	0
782	1	-1	-1	29.590883	35	0	1	1.043911	1.000000	1	0	0
782	1	-1	-1	29.590883	42	0	1	1.023390	1.000000	1	0	0
782	1	-1	-1	29.590883	49	0	10	1.141958	1.000000	1	0	0
782	1	-1	-1	29.590883	59	0	20	1.123817	1.000000	1	0	0
782	1	-1	-1	29.590883	62	59	1	1.195308	1.000000	2	0	0
782	1	-1	-1	29.590883	64	18	1	1.727431	1.000000	2	0	0
782	1	-1	-1	29.590883	70	0	1	1.020289	1.000000	1	0	0
782	1	-1	-1	29.590883	78	62	1	1.237116	1.000000	3	0	0
782	1	-1	-1	29.590883	84	0	0	1.057182	1.000000	1	0	0
782	1	-1	-1	29.590883	85	0	0	1.040446	1.000000	1	0	1
782	1	-1	-1	29.590883	94	0	1	1.141503	1.000000	1	0	0
782	1	-1	-1	29.590883	105	0	0	1.019006	1.000000	1	0	0
782	1	-1	-1	29.590883	123	0	1	1.302532	1.000000	1	0	0
849	1	-1	-1	30.591747	0	0	681	1.000000	1.000000	0	0	0
849	1	-1	-1	30.591747	4	0	9	1.014719	1.000000	1	0	0
849	1	-1	-1	30.591747	5	0	0	1.293649	1.000000	1	0	0
849	1	-1	-1	30.591747	6	0	0	1.163890	1.000000	1	0	0
849	1	-1	-1	30.591747	7	0	1	1.097103	1.000000	1	0	0
849	1	-1	-1	30.591747	8	0	0	1.317946	1.000000	1	0	0
849	1	-1	-1	30.591747	10	0	3	1.025323	1.000000	1	0	0
849	1	-1	-1	30.591747	15	0	1	1.460206	1.000000	1	0	1
849	1	-1	-1	30.591747	18	0	3	1.379974	1.000000	1	0	0
849	1	-1	-1	30.591747	20	0	1	1.018654	1.000000	1	0	0
849	1	-1	-1	30.591747	27	0	0	1.043487	1.000000	1	0	1
849	1	-1	-1	30.591747	33	0	1	1.065711	1.000000	1	0	0
849	1	-1	-1	30.591747	35	0	1	1.043911	1.000000	1	0	0
849	1	-1	-1	30.591747	42	0	1	1.023390	1.000000	1	0	0
849	1	-1	-1	30.591747	49	0	12	1.141958	1.000000	1	0	0
849	1	-1	-1	30.591747	54	0	0	1.073935	1.000000	1	0	0
849	1	-1	-1	30.591747	59	0	26	1.123817	1.000000	1	0	0
849	1	-1	-1	30.591747	62	59	1	1.195308	1.000000	2	0	0
849	1	-1	-1	30.591747	64	18	1	1.727431	1.000000	2	0	0
849	1	-1	-1	30.591747	68	0	2	1.014496	1.000000	1	0	0
849	1	-1	-1	30.591747	70	0	1	1.020289	1.000000	1	0	0
849	1	-1	-1	30.591747	74	4	0	1.143875	1.000000	2	0	0
849	1	-1	-1	30.591747	78	62	1	1.237116	1.000000	3	0	0
849	1	-1	-1	30.591747	84	0	0	1.057182	1.000000	1	0	0
849	1	-1	-1	30.591747	85	0	0	1.040446	1.000000	1	0	1
849	1	-1	-1	30.591747	94	0	1	1.141503	1.000000	1	0	0
849	1	-1	-1	30.591747	105	0	0	1.019006	1.000000	1	0	0
849	1	-1	-1	30.591747	120	105	0	1.231317	1.000000	3	0	0
849	1	-1	-1	30.591747	123	0	1	1.302532	1.000000	1	0	0
849	1	-1	-1	30.591747	152	0	1	1.119249	1.000000	1	0	0
849	1	-1	-1	30.591747	157	0	2	1.003759	1.000000	1	0	0
911	1	-1	-1	31.591785	0	0	723	1.000000	1.000000	0	0	0
911	1	-1	-1	31.591785	4	0	9	1.014719	1.000000	1	0	0
911	1	-1	-1	31.591785	5	0	0	1.293649	1.000000	1	0	0
911	1	-1	-1	31.591785	6	0	0	1.163890	1.000000	1	0	0
911	1	-1	-1	31.591785	7	0	1	1.097103	1.000000	1	0	0
911	1	-1	-1	31.591785	8	0	0	1.317946	1.000000	1	0	0
911	1	-1	-1	31.591785	10	0	3	1.025323	1.000000	1	0	0
911	1	-1	-1	31.591785	15	0	1	1.460206	1.000000	1	0	1
911	1	-1	-1	31.591785	18	0	3	1.379974	1.000000	1	0	0
911	1	-1	-1	31.591785	20	0	1	1.018654	1.000000	1	0	0
911	1	-1	-1	31.591785	27	0	0	1.043487	1.000000	1	0	1
911	1	-1	-1	31.591785	33	0	1	1.065711	1.000000	1	0	0
911	1	-1	-1	31.591785	35	0	1	1.043911	1.000000	1	0	0
911	1	-1	-1	31.591785	42	0	1	1.023390	1.000000	1	0	0
911	1	-1	-1	31.591785	49	0	13	1.141958	1.000000	1	0	0
911	1	-1	-1	31.591785	54	0	0	1.073935	1.000000	1	0	0
911	1	-1	-1	31.591785	56	0	0	1.126690	1.000000	1	0	0
911	1	-1	-1	31.591785	59	0	30	1.123817	1.000000	1	0	0
911	1	-1	-1	31.591785	62	59	1	1.195308	1.000000	2	0	0
911	1	-1	-1	31.591785	64	18	1	1.727431	1.000000	2	0	0
911	1	-1	-1	31.591785	68	0	2	1.014496	1.000000	1	0	0
911	1	-1	-1	31.591785	70	0	1	1.020289	1.000000	1	0	0
