NumCells	NumSamples	CellsPerSample	SampleDepth	Generation	Identity	Parent	Population	BirthRate	MigrationRate	DriverMutations	MigrationMutations	PassengerMutations
357	1	-1	-1	20.578394	193	192	0	1.054113	1.000000	1	0	3
357	1	-1	-1	20.578394	194	143	1	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	197	30	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	198	187	4	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	205	22	0	1.000352	1.000000	1	0	2
357	1	-1	-1	20.578394	207	88	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	209	4	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	212	148	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	214	72	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	220	181	1	1.000000	1.000000	0	0	6
357	1	-1	-1	20.578394	225	112	0	1.000000	1.000000	0	0	5
357	1	-1	-1	20.578394	227	9	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	230	66	4	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	229	115	0	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	234	182	1	1.241494	1.000000	2	0	2
357	1	-1	-1	20.578394	232	227	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	236	95	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	239	189	0	1.050003	1.000000	1	0	2
357	1	-1	-1	20.578394	243	229	0	1.000000	1.000000	0	0	5
357	1	-1	-1	20.578394	244	156	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	247	197	0	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	248	15	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	249	87	0	1.136627	1.000000	1	0	1
357	1	-1	-1	20.578394	250	4	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	251	4	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	256	4	0	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	259	4	3	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	263	205	0	1.076910	1.000000	2	0	2
357	1	-1	-1	20.578394	270	64	1	1.133286	1.000000	1	0	2
357	1	-1	-1	20.578394	273	232	0	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	275	153	6	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	277	131	0	1.132137	1.000000	1	0	1
357	1	-1	-1	20.578394	279	248	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	281	159	0	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	282	4	3	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	288	192	0	1.054113	1.000000	1	0	3
357	1	-1	-1	20.578394	290	24	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	297	15	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	301	56	15	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	302	4	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	306	209	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	309	288	0	1.054113	1.000000	1	0	4
357	1	-1	-1	20.578394	313	53	0	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	314	251	1	1.042947	1.000000	1	0	2
357	1	-1	-1	20.578394	316	309	1	1.054113	1.000000	1	0	5
357	1	-1	-1	20.578394	317	22	0	1.000352	1.000000	1	0	2
357	1	-1	-1	20.578394	319	4	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	325	198	1	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	326	259	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	327	149	0	1.446964	1.000000	1	0	6
357	1	-1	-1	20.578394	328	66	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	330	247	0	1.000000	1.000000	0	0	5
357	1	-1	-1	20.578394	337	156	1	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	338	4	3	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	339	190	1	1.277686	1.000000	2	0	2
357	1	-1	-1	20.578394	345	256	0	1.000000	1.000000	0	0	5
357	1	-1	-1	20.578394	344	220	1	1.000000	1.000000	0	0	7
357	1	-1	-1	20.578394	346	109	1	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	348	281	1	1.000000	1.000000	0	0	5
357	1	-1	-1	20.578394	350	325	1	1.000000	1.000000	0	0	5
357	1	-1	-1	20.578394	352	79	1	1.013347	1.000000	1	0	2
357	1	-1	-1	20.578394	356	67	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	359	124	7	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	363	4	0	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	364	330	1	1.000000	1.000000	0	0	6
357	1	-1	-1	20.578394	367	338	1	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	371	0	0	1.000000	1.000000	0	0	1
357	1	-1	-1	20.578394	391	371	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	396	160	1	1.019843	1.000000	1	0	3
357	1	-1	-1	20.578394	406	66	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	411	4	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	420	4	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	422	4	1	1.000000	1.000000	0	0	2
357	1	-1	-1	20.578394	426	326	1	1.000000	1.000000	0	0	5
357	1	-1	-1	20.578394	432	430	2	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	431	123	1	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	430	422	0	1.000000	1.000000	0	0	3
357	1	-1	-1	20.578394	433	198	2	1.000000	1.000000	0	0	4
357	1	-1	-1	20.578394	451	26	4	1.000000	1.000000	0	0	3
