Generation	Population	RecentBirths	RecentDeaths	RecentMigrations	Passengers	Drivers	VarPassengers	VarDrivers	MeanBirthRate	MeanMigrationRate	VarBirthRate	VarMigRate	NumClones	NumGenotypes	NumDriverGenotypes	NumDemes	NumNon-EmptyDemes	CellsWith0Drivers	CellsWith1Drivers	CellsWith2Drivers	CellsWith3Drivers	CellsWith4Drivers	CellsWith5Drivers	CellsWith6Drivers	CellsWith7Drivers	CellsWith8Drivers	CellsWith9Drivers	CellsWith10Drivers
134.392975	18288	77746	76487	77746	2.260444	0.000219	1.701463	0.000219	1.000016	1.000000	0.000001	0.000000	18234	1712	3	18194	18194	18284	4	0	0	0	0	0	0	0	0	0
135.392975	18551	95888	94366	95888	2.276589	0.000108	1.733696	0.000108	1.000010	1.000000	0.000001	0.000000	18504	1730	2	18466	18466	18549	2	0	0	0	0	0	0	0	0	0
136.393021	18852	114643	112820	114643	2.289041	0.000159	1.755686	0.000159	1.000015	1.000000	0.000001	0.000000	18801	1752	3	18766	18766	18849	3	0	0	0	0	0	0	0	0	0
137.393066	19163	133646	131512	133646	2.303710	0.000104	1.767581	0.000104	1.000010	1.000000	0.000001	0.000000	19107	1776	3	19070	19070	19161	2	0	0	0	0	0	0	0	0	0
138.393066	19478	152982	150533	152982	2.320669	0.000154	1.788133	0.000154	1.000014	1.000000	0.000001	0.000000	19434	1781	3	19385	19385	19475	3	0	0	0	0	0	0	0	0	0
139.393112	19755	172540	169814	172540	2.333131	0.000101	1.802818	0.000101	1.000009	1.000000	0.000001	0.000000	19711	1808	2	19670	19670	19753	2	0	0	0	0	0	0	0	0	0
140.393127	20094	7711	7593	7711	2.346422	0.000100	1.816240	0.000100	1.000009	1.000000	0.000001	0.000000	20033	1829	2	19987	19987	20092	2	0	0	0	0	0	0	0	0	0
141.393127	20398	27833	27411	27833	2.366261	0.000000	1.824137	0.000000	1.000000	1.000000	0.000000	0.000000	20329	1872	1	20282	20282	20398	0	0	0	0	0	0	0	0	0	0
142.393143	20694	48526	47808	48526	2.392433	0.000000	1.853575	0.000000	1.000000	1.000000	0.000000	0.000000	20646	1895	1	20595	20595	20694	0	0	0	0	0	0	0	0	0	0
143.393143	20998	69284	68262	69284	2.414278	0.000048	1.861094	0.000048	1.000001	1.000000	0.000000	0.000000	20933	1903	2	20885	20885	20997	1	0	0	0	0	0	0	0	0	0
144.393158	21297	90566	89245	90566	2.442739	0.000000	1.896235	0.000000	1.000000	1.000000	0.000000	0.000000	21239	1957	1	21178	21178	21297	0	0	0	0	0	0	0	0	0	0
145.393219	21614	111977	110339	111977	2.464514	0.000000	1.931708	0.000000	1.000000	1.000000	0.000000	0.000000	21549	2021	1	21505	21505	21614	0	0	0	0	0	0	0	0	0	0
